(APIServer pid=674540) INFO 07-18 17:13:37 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.7 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 1 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:13:47 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.2 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 7 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:13:57 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.1 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 6 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:14:07 [loggers.py:271] Engine 000: Avg prompt throughput: 12001.2 tokens/s, Avg generation throughput: 0.2 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:14:17 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.0 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:14:27 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.4 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:14:37 [loggers.py:271] Engine 000: Avg prompt throughput: 12000.5 tokens/s, Avg generation throughput: 0.2 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:14:47 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.4 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:14:57 [loggers.py:271] Engine 000: Avg prompt throughput: 12000.3 tokens/s, Avg generation throughput: 0.2 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:15:07 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.2 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
(APIServer pid=674540) INFO 07-18 17:15:17 [loggers.py:271] Engine 000: Avg prompt throughput: 6000.0 tokens/s, Avg generation throughput: 0.1 tokens/s, Running: 1 reqs, Waiting: 5 reqs, GPU KV cache usage: 81.4%, Prefix cache hit rate: 0.0%, External prefix cache hit rate: 0.0%
